item,alpha,beta,gamma,mape,total oh,total OO
101639,0.0631,0.0719,1,42.0625,"13,009","12,824"
382097,0.0365,0,0.4773,29.3281,"17,817",16
419015,0.1205,0.0064,0.9932,52.625,"69,384","1,292"
419016,1,0.0497,0.0056,41.125,"18,867","9,938"
506579,0.0133,0.0302,1,35.1562,"48,722","12,804"
506892,0.0116,0.0677,1,32.7812,"2,142",0
535383,0.0005,1,1,42.5938,"80,408","2,610"
535386,0,0,0.4883,35.4062,"51,370","60,130"
594166,0.0029,1,0.3635,157.25,"27,202","5,209"
623439,0.0007,1,0.9854,44.0938,"38,732","19,803"
623643,0.1885,0.7053,0.5628,60.6483,"20,105","16,532"
632477,0.0009,0.9985,0.8916,46.3438,"20,099","5,204"
753007,0.1202,0.0593,0.0139,25.2031,"18,157","2,929"
753008,0.0012,1,0,117.6875,"2,784",0
757109,0.002,0.999,0.0007,16.8125,"4,924","1,000"
